TS time deltat Energy E1 E2 Dissipation Trd volume area area_n E3 Lat_area Epress E_tension1 E_tension2 E_tension3 pressure Zmax stress strain totBonds
220 0.00804426 9.12551e-05 0.833921 0.365093 0.291396 0.000246869 0.9264 0.0486116 0.9264 0.81594 0.177431 0.57695 -4.5355 4.0797 4.0797 2.88359 -99.1828 1 0 0 0.81594
225 0.00850984 9.5958e-05 0.894553 0.392075 0.313722 0.000232858 0.930692 0.0497164 0.930692 0.81594 0.188755 0.575792 -4.77691 4.0797 4.0797 2.8778 -102.288 1 0 0 0.81594
230 0.00899942 0.000100903 0.957799 0.420282 0.337136 0.000219649 0.93503 0.0508213 0.93503 0.81594 0.200381 0.574635 -5.02524 4.0797 4.0797 2.87202 -105.418 1 0 0 0.81594
235 0.00951424 0.000106103 1.02367 0.449726 0.361652 0.000207196 0.939412 0.0519261 0.939412 0.81594 0.212296 0.573479 -5.28041 4.0797 4.0797 2.86624 -108.571 1 0 0 0.81594
240 0.0100556 0.000111572 1.09219 0.480414 0.387285 0.000195455 0.943837 0.0530309 0.943837 0.81594 0.224489 0.572326 -5.54233 4.0797 4.0797 2.86048 -111.744 1 0 0 0.81594
245 0.0106248 0.000117321 1.16335 0.512353 0.414045 0.000184386 0.948303 0.0541357 0.948303 0.81594 0.23695 0.571175 -5.81092 4.0797 4.0797 2.85473 -114.934 1 0 0 0.81594
250 0.0112234 0.000123368 1.23716 0.545549 0.441942 0.000173949 0.952808 0.0552405 0.952808 0.81594 0.249664 0.570027 -6.08606 4.0797 4.0797 2.84899 -118.14 1 0 0 0.81594
255 0.0118528 0.000129726 1.31361 0.580002 0.470986 0.000164109 0.957352 0.0563453 0.957352 0.81594 0.262622 0.568883 -6.36765 4.0797 4.0797 2.84327 -121.359 1 0 0 0.81594
260 0.0125147 0.000136411 1.3927 0.615711 0.50118 0.000154831 0.961933 0.0574501 0.961933 0.81594 0.275809 0.567743 -6.65557 4.0797 4.0797 2.83758 -124.588 1 0 0 0.81594
265 0.0132107 0.000143441 1.47442 0.652675 0.532528 0.000146083 0.96655 0.0585549 0.96655 0.81594 0.289215 0.566607 -6.94969 4.0797 4.0797 2.8319 -127.825 1 0 0 0.81594
270 0.0139425 0.000150833 1.55875 0.690888 0.565032 0.000137834 0.971201 0.0596597 0.971201 0.81594 0.302826 0.565477 -7.24987 4.0797 4.0797 2.82626 -131.068 1 0 0 0.81594
275 0.0147121 0.000158607 1.64566 0.73034 0.59869 0.000130056 0.975886 0.0607645 0.975886 0.81594 0.31663 0.564351 -7.55597 4.0797 4.0797 2.82063 -134.315 1 0 0 0.81594
280 0.0155213 0.000166781 1.73513 0.77102 0.633498 0.000122722 0.980602 0.0618694 0.980602 0.81594 0.330615 0.563231 -7.86784 4.0797 4.0797 2.81504 -137.562 1 0 0 0.81594
285 0.0163722 0.000175376 1.82713 0.812914 0.669449 0.000115806 0.985349 0.0629742 0.985349 0.81594 0.344767 0.562116 -8.18529 4.0797 4.0797 2.80947 -140.808 1 0 0 0.81594
290 0.017267 0.000184414 1.92161 0.856004 0.706534 0.000109284 0.990127 0.064079 0.990127 0.81594 0.359075 0.561008 -8.50817 4.0797 4.0797 2.80393 -144.05 1 0 0 0.81594
295 0.0182079 0.000193918 2.01853 0.900267 0.744739 0.000103134 0.994933 0.0651838 0.994933 0.81594 0.373526 0.559906 -8.83628 4.0797 4.0797 2.79843 -147.286 1 0 0 0.81594
300 0.0191972 0.000203911 2.11784 0.94568 0.784049 9.73347e-05 0.999767 0.0662886 0.999767 0.81594 0.388107 0.55881 -9.16943 4.0797 4.0797 2.79296 -150.513 1 0 0 0.81594
305 0.0202376 0.00021442 2.21946 0.992213 0.824445 9.18652e-05 1.00463 0.0673934 1.00463 0.81594 0.402807 0.557721 -9.5074 4.0797 4.0797 2.78752 -153.729 1 0 0 0.81594
310 0.0213316 0.00022547 2.32335 1.03983 0.865902 8.67069e-05 1.00951 0.0684982 1.00951 0.81594 0.417612 0.556639 -9.84997 4.0797 4.0797 2.78211 -156.931 1 0 0 0.81594
315 0.0224819 0.00023709 2.42941 1.0885 0.908395 8.1842e-05 1.01443 0.069603 1.01443 0.81594 0.43251 0.555563 -10.1969 4.0797 4.0797 2.77675 -160.116 1 0 0 0.81594
320 0.0236916 0.000249309 2.53756 1.13818 0.951891 7.72537e-05 1.01936 0.0707078 1.01936 0.81594 0.44749 0.554495 -10.548 4.0797 4.0797 2.77141 -163.282 1 0 0 0.81594
325 0.0249636 0.000262157 2.64771 1.18882 0.996355 7.2926e-05 1.02432 0.0718126 1.02432 0.81594 0.462538 0.553435 -10.9028 4.0797 4.0797 2.76612 -166.426 1 0 0 0.81594
330 0.0263011 0.000275668 2.75975 1.24036 1.04175 6.8844e-05 1.02931 0.0729175 1.02931 0.81594 0.477643 0.552381 -11.2613 4.0797 4.0797 2.76086 -169.545 1 0 0 0.81594
335 0.0277076 0.000289874 2.87357 1.29276 1.08802 6.49937e-05 1.03431 0.0740223 1.03431 0.81594 0.492793 0.551335 -11.623 4.0797 4.0797 2.75564 -172.635 1 0 0 0.81594
340 0.0291865 0.000304813 2.98905 1.34594 1.13513 6.13617e-05 1.03934 0.0751271 1.03934 0.81594 0.507974 0.550297 -11.9877 4.0797 4.0797 2.75045 -175.695 1 0 0 0.81594
345 0.0307417 0.000320522 3.10604 1.39985 1.18302 5.79357e-05 1.04439 0.0762319 1.04439 0.81594 0.523176 0.549266 -12.3549 4.0797 4.0797 2.74531 -178.719 1 0 0 0.81594
350 0.032377 0.00033704 3.2244 1.45439 1.23162 5.47036e-05 1.04946 0.0773367 1.04946 0.81594 0.538386 0.548243 -12.7244 4.0797 4.0797 2.7402 -181.706 1 0 0 0.81594
355 0.0340966 0.00035441 3.34395 1.5095 1.28087 5.16546e-05 1.05455 0.0784415 1.05455 0.81594 0.553591 0.547228 -13.0958 4.0797 4.0797 2.73513 -184.651 1 0 0 0.81594
360 0.0359048 0.000372675 3.46454 1.56507 1.33069 4.87781e-05 1.05966 0.0795463 1.05966 0.81594 0.56878 0.54622 -13.4686 4.0797 4.0797 2.7301 -187.551 1 0 0 0.81594
365 0.0378062 0.000391881 3.58596 1.62101 1.38101 4.60642e-05 1.06478 0.0806511 1.06478 0.81594 0.58394 0.545221 -13.8424 4.0797 4.0797 2.72511 -190.402 1 0 0 0.81594
